Job_Title,Job_Description
ICU Nurse,"Minimum 2 years experience, BLS certification required."
Pediatric Nurse,"Experience with emergency response, ACLS preferred."
Surgical Nurse,"Comfortable with geriatric care, excellent bedside manner required."
ER Nurse,"Familiar with advanced monitoring equipment, ICU experience needed."
Geriatric Nurse,"Ability to work night shifts, experience with pediatric patients preferred."
Oncology Nurse,"Strong understanding of mental health treatments, psychiatric care background required."
Psychiatric Nurse,"Experience in neonatal care, NICU training preferred."
Cardiac Nurse,Oncology experience with chemotherapy certification preferred.
Neonatal Nurse,Cardiac nurse experience with EKG monitoring skills required.
Home Health Nurse,"Home health experience, ability to travel between patients' homes."
